2023-08-14 00:22:44,444 - FileInfo(name='.git', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,445 - FileInfo(name='.gitignore', extension='', is_directory=False, parent_directory='DivingPython')
2023-08-14 00:22:44,445 - FileInfo(name='.idea', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,445 - FileInfo(name='Itog', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,445 - FileInfo(name='README.md', extension='.md', is_directory=False, parent_directory='DivingPython')
2023-08-14 00:22:44,445 - FileInfo(name='seminar_1', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,446 - FileInfo(name='seminar_10', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,446 - FileInfo(name='seminar_11', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,446 - FileInfo(name='seminar_13', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,446 - FileInfo(name='seminar_2', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,446 - FileInfo(name='seminar_3', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,446 - FileInfo(name='seminar_4', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,446 - FileInfo(name='seminar_5', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,446 - FileInfo(name='seminar_6', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,446 - FileInfo(name='seminar_7', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,447 - FileInfo(name='seminar_8', extension=None, is_directory=True, parent_directory='DivingPython')
2023-08-14 00:22:44,447 - FileInfo(name='seminar_9', extension=None, is_directory=True, parent_directory='DivingPython')
